kegg_annotation_id	name	definition	pathway	module
K02506	hofD, hopD	leader peptidase HopD [EC:3.4.23.43]		
K02507	hofQ	protein transport protein HofQ		
K02508	hpaA	AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein		
K02509	hpaH	2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]	ko00350  Tyrosine metabolism	
K02510	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	ko00350  Tyrosine metabolism	
K02511	hpaX	MFS transporter, ACS family, 4-hydroxyphenylacetate permease		
K02513	HS2ST1	heparan sulfate 2-O-sulfotransferase HS2ST1 [EC:2.8.2.-]	ko00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin	
K02514	HS6ST1	heparan sulfate 6-O-sulfotransferase HS6ST1 [EC:2.8.2.-]	ko00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin	
K02515	HSL1	serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase [EC:2.7.11.-]	ko04011  MAPK signaling pathway - yeast	
K02516	PRMT5, HSL7	type II protein arginine methyltransferase [EC:2.1.1.320]	ko03013  RNA transport	
K02517	lpxL, htrB	Kdo2-lipid IVA lauroyltransferase [EC:2.3.1.241]	ko00540  Lipopolysaccharide biosynthesis	M00060  Lipopolysaccharide biosynthesis, KDO2-lipid A
K02518	infA	translation initiation factor IF-1		
K02519	infB, MTIF2	translation initiation factor IF-2		
K02520	infC, MTIF3	translation initiation factor IF-3		
K02521	ilvY	LysR family transcriptional regulator, positive regulator for ilvC		
K02523	ispB	octaprenyl-diphosphate synthase [EC:2.5.1.90]	ko00900  Terpenoid backbone biosynthesis	
K02524	K10	DNA binding protein (fs(1)K10, female sterile(1)K10)	ko04320  Dorso-ventral axis formation	
K02525	kdgR	LacI family transcriptional regulator, kdg operon repressor		
K02526	kdgT	2-keto-3-deoxygluconate permease		
K02527	kdtA, waaA	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	ko00540  Lipopolysaccharide biosynthesis	M00060  Lipopolysaccharide biosynthesis, KDO2-lipid A
K02528	ksgA	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]		
K02529	lacI, galR	LacI family transcriptional regulator		
K02530	lacR	DeoR family transcriptional regulator, lactose phosphotransferase system repressor		
K02531	lacT	transcriptional antiterminator		
K02532	lacY	MFS transporter, OHS family, lactose permease		
K02533	lasT	tRNA/rRNA methyltransferase [EC:2.1.1.-]		
K02535	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	ko00540  Lipopolysaccharide biosynthesis	M00060  Lipopolysaccharide biosynthesis, KDO2-lipid A
K02536	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	ko00540  Lipopolysaccharide biosynthesis	M00060  Lipopolysaccharide biosynthesis, KDO2-lipid A
K02537	MAD2	mitotic spindle assembly checkpoint protein MAD2	ko04110  Cell cycle	
K02538	manR	activator of the mannose operon, transcriptional antiterminator		
K02540	MCM2	DNA replication licensing factor MCM2 [EC:3.6.4.12]	ko03030  DNA replication	M00285  MCM complex
K02541	MCM3	DNA replication licensing factor MCM3 [EC:3.6.4.12]	ko03030  DNA replication	M00285  MCM complex
K02542	MCM6	DNA replication licensing factor MCM6 [EC:3.6.4.12]	ko03030  DNA replication	M00285  MCM complex
K02543	MEC1	cell cycle checkpoint protein MEC1	ko04111  Cell cycle - yeast	
K02544	MEC3	G2-specific checkpoint protein	ko04111  Cell cycle - yeast	
K02545	mecA	penicillin-binding protein 2 prime [EC:3.4.16.4]	ko00550  Peptidoglycan biosynthesis	M00625  Methicillin resistance
K02546	mecI	BlaI family transcriptional regulator, methicillin resistance regulatory protein	ko01501  beta-Lactam resistance	M00625  Methicillin resistance
K02547	mecR1	methicillin resistance protein	ko01501  beta-Lactam resistance	M00625  Methicillin resistance
K02548	menA	1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]	ko00130  Ubiquinone and other terpenoid-quinone biosynthesis	M00116  Menaquinone biosynthesis, chorismate => menaquinone
K02549	menC	O-succinylbenzoate synthase [EC:4.2.1.113]	ko00130  Ubiquinone and other terpenoid-quinone biosynthesis	M00116  Menaquinone biosynthesis, chorismate => menaquinone
K02550	glcA	glycolate permease		
K02551	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]	ko00130  Ubiquinone and other terpenoid-quinone biosynthesis	M00116  Menaquinone biosynthesis, chorismate => menaquinone
K02552	menF	menaquinone-specific isochorismate synthase [EC:5.4.4.2]	ko00130  Ubiquinone and other terpenoid-quinone biosynthesis	M00116  Menaquinone biosynthesis, chorismate => menaquinone
K02553	rraA, menG	regulator of ribonuclease activity A		
K02554	mhpD	2-keto-4-pentenoate hydratase [EC:4.2.1.80]	ko00360  Phenylalanine metabolism	M00545  Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA
K02555	MIH1	M-phase inducer tyrosine phosphatase [EC:3.1.3.48]	ko04011  MAPK signaling pathway - yeast	M00691  DNA damage-induced cell cycle checkpoints
K02556	motA	chemotaxis protein MotA	ko02020  Two-component system	
K02557	motB	chemotaxis protein MotB	ko02030  Bacterial chemotaxis	
K02558	mpl	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]		
K02560	lpxM, msbB	lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]	ko00540  Lipopolysaccharide biosynthesis	M00060  Lipopolysaccharide biosynthesis, KDO2-lipid A
K02561	BOK	Bcl-2-related ovarian killer protein	ko04214  Apoptosis - fly	
K02562	mtlR	mannitol operon repressor		
K02563	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	ko00550  Peptidoglycan biosynthesis	
K02564	nagB, GNPDA	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	ko00520  Amino sugar and nucleotide sugar metabolism	
K02565	nagC	N-acetylglucosamine repressor		
K02566	nagD	NagD protein		
K02567	napA	periplasmic nitrate reductase NapA [EC:1.7.99.-]	ko00910  Nitrogen metabolism	M00529  Denitrification, nitrate => nitrogen
K02568	napB	cytochrome c-type protein NapB	ko00910  Nitrogen metabolism	M00529  Denitrification, nitrate => nitrogen
K02569	napC	cytochrome c-type protein NapC		
K02570	napD	periplasmic nitrate reductase NapD		
K02571	napE	periplasmic nitrate reductase NapE		
K02572	napF	ferredoxin-type protein NapF		
K02573	napG	ferredoxin-type protein NapG		
K02574	napH	ferredoxin-type protein NapH		
K02575	NRT, narK, nrtP, nasA	MFS transporter, NNP family, nitrate/nitrite transporter	ko00910  Nitrogen metabolism	M00615  Nitrate assimilation
K02576	NDST1	heparan sulfate N-deacetylase/N-sulfotransferase NDST1 [EC:3.1.1.- 2.8.2.-]	ko00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin	M00059  Glycosaminoglycan biosynthesis, heparan sulfate backbone
K02577	NDST2	heparan sulfate N-deacetylase/N-sulfotransferase NDST2 [EC:3.1.1.- 2.8.2.-]	ko00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin	M00059  Glycosaminoglycan biosynthesis, heparan sulfate backbone
K02578	NDST3	heparan sulfate N-deacetylase/N-sulfotransferase NDST3 [EC:3.1.1.- 2.8.2.-]	ko00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin	M00059  Glycosaminoglycan biosynthesis, heparan sulfate backbone
K02579	NDST4	heparan sulfate N-deacetylase/N-sulfotransferase NDST4 [EC:3.1.1.- 2.8.2.-]	ko00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin	M00059  Glycosaminoglycan biosynthesis, heparan sulfate backbone
K02580	NFKB1	nuclear factor NF-kappa-B p105 subunit	ko01523  Antifolate resistance	M00686  Toll-like receptor signaling
K02581	NFKBIB	NF-kappa-B inhibitor beta	ko04062  Chemokine signaling pathway	
K02582	NGFB	nerve growth factor, beta	ko04010  MAPK signaling pathway	
K02583	NGFR, CD271	nerve growth factor receptor (TNFR superfamily member 16)	ko04010  MAPK signaling pathway	
K02584	nifA	Nif-specific regulatory protein	ko02020  Two-component system	
K02585	nifB	nitrogen fixation protein NifB		
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	ko00625  Chloroalkane and chloroalkene degradation	M00175  Nitrogen fixation, nitrogen => ammonia
K02587	nifE	nitrogenase molybdenum-cofactor synthesis protein NifE		
K02588	nifH	nitrogenase iron protein NifH [EC:1.18.6.1]	ko00625  Chloroalkane and chloroalkene degradation	M00175  Nitrogen fixation, nitrogen => ammonia
K02589	nifHD1, nifI1	nitrogen regulatory protein PII 1		
K02590	nifHD2, nifI2	nitrogen regulatory protein PII 2		
K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	ko00625  Chloroalkane and chloroalkene degradation	M00175  Nitrogen fixation, nitrogen => ammonia
K02592	nifN	nitrogenase molybdenum-iron protein NifN		
K02593	nifT	nitrogen fixation protein NifT		
K02594	nifV	homocitrate synthase NifV [EC:2.3.3.14]	ko00620  Pyruvate metabolism	
K02595	nifW	nitrogenase-stabilizing/protective protein		
K02596	nifX	nitrogen fixation protein NifX		
K02597	nifZ	nitrogen fixation protein NifZ		
K02598	nirC	nitrite transporter		
K02599	NOTCH1	Notch 1	ko01522  Endocrine resistance	M00682  Notch signaling
K02600	nusA	N utilization substance protein A		
K02601	nusG	transcriptional antiterminator NusG		
K02602	CPEB, ORB	cytoplasmic polyadenylation element-binding protein	ko04114  Oocyte meiosis	
K02603	ORC1	origin recognition complex subunit 1	ko04110  Cell cycle	M00284  Origin recognition complex
K02604	ORC2	origin recognition complex subunit 2	ko04110  Cell cycle	M00284  Origin recognition complex
K02605	ORC3	origin recognition complex subunit 3	ko04110  Cell cycle	M00284  Origin recognition complex
K02606	ORC4	origin recognition complex subunit 4	ko04110  Cell cycle	M00284  Origin recognition complex
K02607	ORC5	origin recognition complex subunit 5	ko04110  Cell cycle	M00284  Origin recognition complex
K02608	ORC6	origin recognition complex subunit 6	ko04110  Cell cycle	M00284  Origin recognition complex
K02609	paaA	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]	ko00360  Phenylalanine metabolism	
K02610	paaB	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB	ko00360  Phenylalanine metabolism	
K02611	paaC	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]	ko00360  Phenylalanine metabolism	
K02612	paaD	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD	ko00360  Phenylalanine metabolism	
K02613	paaE	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE	ko00360  Phenylalanine metabolism	
K02614	paaI	acyl-CoA thioesterase [EC:3.1.2.-]	ko00360  Phenylalanine metabolism	
K02615	paaJ	3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]	ko00360  Phenylalanine metabolism	
K02616	paaX	phenylacetic acid degradation operon negative regulatory protein		
K02617	paaY	phenylacetic acid degradation protein		
K02618	paaZ	oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]	ko00360  Phenylalanine metabolism	
K02619	pabC	4-amino-4-deoxychorismate lyase [EC:4.1.3.38]	ko00790  Folate biosynthesis	
K02620	TCF7	transcription factor 7	ko04310  Wnt signaling pathway	M00677  Wnt signaling
K02621	parC	topoisomerase IV subunit A [EC:5.99.1.-]		
K02622	parE	topoisomerase IV subunit B [EC:5.99.1.-]		
K02623	pcaQ	LysR family transcriptional regulator, pca operon transcriptional activator		
K02624	pcaR	IclR family transcriptional regulator, pca regulon regulatory protein		
K02625	pcaT	MFS transporter, MHS family, dicarboxylic acid transporter PcaT		
K02626	pdaD	arginine decarboxylase [EC:4.1.1.19]	ko00330  Arginine and proline metabolism	M00133  Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine
K02627	PDS1	cell cycle regulator	ko04111  Cell cycle - yeast	
K02628	pecA	phycoerythrocyanin alpha chain	ko00196  Photosynthesis - antenna proteins	
K02629	pecB	phycoerythrocyanin beta chain	ko00196  Photosynthesis - antenna proteins	
K02630	pecC	phycoerythrocyanin-associated rod linker protein	ko00196  Photosynthesis - antenna proteins	
K02631	pecE	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	ko00196  Photosynthesis - antenna proteins	
K02632	pecF	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecF [EC:4.4.1.31]	ko00196  Photosynthesis - antenna proteins	
K02633	PER2	period circadian protein 2	ko04710  Circadian rhythm	
K02634	petA	apocytochrome f	ko00195  Photosynthesis	M00162  Cytochrome b6f complex
K02635	petB	cytochrome b6	ko00195  Photosynthesis	M00162  Cytochrome b6f complex
K02636	petC	cytochrome b6-f complex iron-sulfur subunit [EC:1.10.9.1]	ko00195  Photosynthesis	M00162  Cytochrome b6f complex
K02637	petD	cytochrome b6-f complex subunit 4	ko00195  Photosynthesis	M00162  Cytochrome b6f complex
K02638	petE	plastocyanin	ko00195  Photosynthesis	
K02639	petF	ferredoxin	ko00195  Photosynthesis	
K02640	petG	cytochrome b6-f complex subunit 5	ko00195  Photosynthesis	M00162  Cytochrome b6f complex
K02641	petH	ferredoxin--NADP+ reductase [EC:1.18.1.2]	ko00195  Photosynthesis	
K02642	petL	cytochrome b6-f complex subunit 6	ko00195  Photosynthesis	M00162  Cytochrome b6f complex
K02643	petM	cytochrome b6-f complex subunit 7	ko00195  Photosynthesis	M00162  Cytochrome b6f complex
K02646	PHO2	regulatory protein PHO2	ko04111  Cell cycle - yeast	
K02647	cdaR	carbohydrate diacid regulator		
K02649	PIK3R1_2_3	phosphoinositide-3-kinase regulatory subunit alpha/beta/delta	ko01521  EGFR tyrosine kinase inhibitor resistance	M00676  PI3K-Akt signaling
K02650	pilA	type IV pilus assembly protein PilA	ko02020  Two-component system	
K02651	flp, pilA	pilus assembly protein Flp/PilA	ko04112  Cell cycle - Caulobacter	
K02652	pilB	type IV pilus assembly protein PilB		
K02653	pilC	type IV pilus assembly protein PilC		
K02654	pilD, pppA	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]		M00331  Type II general secretion pathway
K02655	pilE	type IV pilus assembly protein PilE		
K02656	pilF	type IV pilus assembly protein PilF		
K02657	pilG	twitching motility two-component system response regulator PilG	ko02020  Two-component system	M00507  ChpA-ChpB/PilGH (chemosensory) two-component regulatory system
K02658	pilH	twitching motility two-component system response regulator PilH	ko02020  Two-component system	M00507  ChpA-ChpB/PilGH (chemosensory) two-component regulatory system
K02659	pilI	twitching motility protein PilI	ko02020  Two-component system	
K02660	pilJ	twitching motility protein PilJ	ko02020  Two-component system	
K02661	pilK	type IV pilus assembly protein PilK	ko02020  Two-component system	
K02662	pilM	type IV pilus assembly protein PilM		
K02663	pilN	type IV pilus assembly protein PilN		
K02664	pilO	type IV pilus assembly protein PilO		
K02665	pilP	type IV pilus assembly protein PilP		
K02666	pilQ	type IV pilus assembly protein PilQ		
K02667	pilR, pehR	two-component system, NtrC family, response regulator PilR	ko02020  Two-component system	M00501  PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system
K02668	pilS, pehS	two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]	ko02020  Two-component system	M00501  PilS-PilR (type 4 fimbriae synthesis) two-component regulatory system
K02669	pilT	twitching motility protein PilT		
K02670	pilU	twitching motility protein PilU		
K02671	pilV	type IV pilus assembly protein PilV		
K02672	pilW	type IV pilus assembly protein PilW		
K02673	pilX	type IV pilus assembly protein PilX		
K02674	pilY1	type IV pilus assembly protein PilY1		
K02675	pilY2	type IV pilus assembly protein PilY2		
K02676	pilZ	type IV pilus assembly protein PilZ		
K02677	PRKCA	classical protein kinase C alpha type [EC:2.7.11.13]	ko01521  EGFR tyrosine kinase inhibitor resistance	
K02678	ETS1, pnt	C-ets-1	ko04013  MAPK signaling pathway - fly	
K02679	ppdA	prepilin peptidase dependent protein A		
K02680	ppdB	prepilin peptidase dependent protein B		
K02681	ppdC	prepilin peptidase dependent protein C		
K02682	ppdD	prepilin peptidase dependent protein D		
K02683	priS, pri1, priA	DNA primase small subunit [EC:2.7.7.-]	ko03030  DNA replication	
K02684	PRI1	DNA primase small subunit [EC:2.7.7.-]	ko00230  Purine metabolism	M00261  DNA polymerase alpha / primase complex
K02685	PRI2	DNA primase large subunit [EC:2.7.7.-]	ko00230  Purine metabolism	M00261  DNA polymerase alpha / primase complex
K02686	priB	primosomal replication protein N	ko03440  Homologous recombination	
K02687	prmA	ribosomal protein L11 methyltransferase [EC:2.1.1.-]		
K02688	prpR	transcriptional regulator, propionate catabolism operon regulatory protein		
K02689	psaA	photosystem I P700 chlorophyll a apoprotein A1	ko00195  Photosynthesis	M00163  Photosystem I
K02690	psaB	photosystem I P700 chlorophyll a apoprotein A2	ko00195  Photosynthesis	M00163  Photosystem I
K02691	psaC	photosystem I subunit VII	ko00195  Photosynthesis	M00163  Photosystem I
K02692	psaD	photosystem I subunit II	ko00195  Photosynthesis	M00163  Photosystem I
K02693	psaE	photosystem I subunit IV	ko00195  Photosynthesis	M00163  Photosystem I
K02694	psaF	photosystem I subunit III	ko00195  Photosynthesis	M00163  Photosystem I
K02695	psaH	photosystem I subunit VI	ko00195  Photosynthesis	
K02696	psaI	photosystem I subunit VIII	ko00195  Photosynthesis	
K02697	psaJ	photosystem I subunit IX	ko00195  Photosynthesis	
K02698	psaK	photosystem I subunit X	ko00195  Photosynthesis	
K02699	psaL	photosystem I subunit XI	ko00195  Photosynthesis	
K02700	psaM	photosystem I subunit XII	ko00195  Photosynthesis	
K02701	psaN	photosystem I subunit PsaN	ko00195  Photosynthesis	
K02702	psaX	photosystem I 4.8kDa protein	ko00195  Photosynthesis	
K02703	psbA	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	ko00195  Photosynthesis	M00161  Photosystem II
K02704	psbB	photosystem II CP47 chlorophyll apoprotein	ko00195  Photosynthesis	M00161  Photosystem II
K02705	psbC	photosystem II CP43 chlorophyll apoprotein	ko00195  Photosynthesis	M00161  Photosystem II
K02706	psbD	photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	ko00195  Photosynthesis	M00161  Photosystem II
K02707	psbE	photosystem II cytochrome b559 subunit alpha	ko00195  Photosynthesis	M00161  Photosystem II
K02708	psbF	photosystem II cytochrome b559 subunit beta	ko00195  Photosynthesis	M00161  Photosystem II
K02709	psbH	photosystem II PsbH protein	ko00195  Photosynthesis	
K02710	psbI	photosystem II PsbI protein	ko00195  Photosynthesis	
K02711	psbJ	photosystem II PsbJ protein	ko00195  Photosynthesis	
K02712	psbK	photosystem II PsbK protein	ko00195  Photosynthesis	
K02713	psbL	photosystem II PsbL protein	ko00195  Photosynthesis	
K02714	psbM	photosystem II PsbM protein	ko00195  Photosynthesis	
K02715	psbN	PsbN protein		
K02716	psbO	photosystem II oxygen-evolving enhancer protein 1	ko00195  Photosynthesis	
K02717	psbP	photosystem II oxygen-evolving enhancer protein 2	ko00195  Photosynthesis	
K02718	psbT	photosystem II PsbT protein	ko00195  Photosynthesis	
K02719	psbU	photosystem II PsbU protein	ko00195  Photosynthesis	
K02720	psbV	photosystem II cytochrome c550	ko00195  Photosynthesis	
K02721	psbW	photosystem II PsbW protein	ko00195  Photosynthesis	
K02722	psbX	photosystem II PsbX protein	ko00195  Photosynthesis	
K02723	psbY	photosystem II PsbY protein	ko00195  Photosynthesis	
K02724	psbZ	photosystem II PsbZ protein	ko00195  Photosynthesis	
K02725	PSMA1	20S proteasome subunit alpha 6 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02726	PSMA2	20S proteasome subunit alpha 2 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02727	PSMA3	20S proteasome subunit alpha 7 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02728	PSMA4	20S proteasome subunit alpha 3 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02729	PSMA5	20S proteasome subunit alpha 5 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02730	PSMA6	20S proteasome subunit alpha 1 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02731	PSMA7	20S proteasome subunit alpha 4 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02732	PSMB1	20S proteasome subunit beta 6 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02733	PSMB10, MECL1	20S proteasome subunit beta 10 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02734	PSMB2	20S proteasome subunit beta 4 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02735	PSMB3	20S proteasome subunit beta 3 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02736	PSMB4	20S proteasome subunit beta 7 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02737	PSMB5	20S proteasome subunit beta 5 [EC:3.4.25.1]	ko03050  Proteasome	M00340  Proteasome, 20S core particle
K02738	PSMB6	20S proteasome subunit beta 1 [EC:3.4.25.1]	ko03050  Proteasome	M00340  Proteasome, 20S core particle
K02739	PSMB7	20S proteasome subunit beta 2 [EC:3.4.25.1]	ko03050  Proteasome	M00340  Proteasome, 20S core particle
K02740	PSMB8, LMP7	20S proteasome subunit beta 8 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02741	PSMB9, LMP2	20S proteasome subunit beta 9 [EC:3.4.25.1]	ko03050  Proteasome	M00337  Immunoproteasome
K02742	sprT	SprT protein		
K02744	PTS-Aga-EIIA, agaF	PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.-]	ko00052  Galactose metabolism	M00277  PTS system, N-acetylgalactosamine-specific II component
K02745	PTS-Aga-EIIB, agaV	PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.-]	ko00052  Galactose metabolism	M00277  PTS system, N-acetylgalactosamine-specific II component
K02746	PTS-Aga-EIIC, agaW	PTS system, N-acetylgalactosamine-specific IIC component	ko00052  Galactose metabolism	M00277  PTS system, N-acetylgalactosamine-specific II component
K02747	PTS-Aga-EIID, agaE	PTS system, N-acetylgalactosamine-specific IID component	ko00052  Galactose metabolism	M00277  PTS system, N-acetylgalactosamine-specific II component
K02750	PTS-Glv-EIIC, glvC, malP, aglA	PTS system, alpha-glucoside-specific IIC component	ko00500  Starch and sucrose metabolism	M00268  PTS system, alpha-glucoside-specific II component
K02753	PTS-Asc-EIIC, ascF	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIC component	ko00010  Glycolysis / Gluconeogenesis	M00272  PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component
K02755	PTS-Bgl-EIIA, bglF, bglP	PTS system, beta-glucoside-specific IIA component [EC:2.7.1.-]	ko02060  Phosphotransferase system (PTS)	M00271  PTS system, beta-glucoside-specific II component
K02757	PTS-Bgl-EIIC, bglF, bglP	PTS system, beta-glucoside-specific IIC component	ko02060  Phosphotransferase system (PTS)	M00271  PTS system, beta-glucoside-specific II component
K02759	PTS-Cel-EIIA, celC, chbA	PTS system, cellobiose-specific IIA component [EC:2.7.1.196 2.7.1.205]	ko00500  Starch and sucrose metabolism	M00275  PTS system, cellobiose-specific II component
K02760	PTS-Cel-EIIB, celA, chbB	PTS system, cellobiose-specific IIB component [EC:2.7.1.196 2.7.1.205]	ko00500  Starch and sucrose metabolism	M00275  PTS system, cellobiose-specific II component
K02761	PTS-Cel-EIIC, celB, chbC	PTS system, cellobiose-specific IIC component	ko00500  Starch and sucrose metabolism	M00275  PTS system, cellobiose-specific II component
K02763	PTS-Dgl-EIIA, gamP	PTS system, D-glucosamine-specific IIA component [EC:2.7.1.-]	ko00520  Amino sugar and nucleotide sugar metabolism	M00282  PTS system, D-glucosamine-specific II component
K02765	PTS-Dgl-EIIC, gamP	PTS system, D-glucosamine-specific IIC component	ko00520  Amino sugar and nucleotide sugar metabolism	M00282  PTS system, D-glucosamine-specific II component
K02768	PTS-Fru-EIIA, fruB	PTS system, fructose-specific IIA component [EC:2.7.1.202]	ko00051  Fructose and mannose metabolism	M00273  PTS system, fructose-specific II component
K02769	PTS-Fru-EIIB, fruA	PTS system, fructose-specific IIB component [EC:2.7.1.202]	ko00051  Fructose and mannose metabolism	M00273  PTS system, fructose-specific II component
K02770	PTS-Fru-EIIC, fruA	PTS system, fructose-specific IIC component	ko00051  Fructose and mannose metabolism	M00273  PTS system, fructose-specific II component
K02771	PTS-Fru1-EIID, levG	PTS system, fructose-specific IID component	ko00051  Fructose and mannose metabolism	M00304  PTS system, fructose-specific II component
K02773	PTS-Gat-EIIA, gatA, sgcA	PTS system, galactitol-specific IIA component [EC:2.7.1.200]	ko00052  Galactose metabolism	M00279  PTS system, galactitol-specific II component
K02774	PTS-Gat-EIIB, gatB, sgcB	PTS system, galactitol-specific IIB component [EC:2.7.1.200]	ko00052  Galactose metabolism	M00279  PTS system, galactitol-specific II component
K02775	PTS-Gat-EIIC, gatC, sgcC	PTS system, galactitol-specific IIC component	ko00052  Galactose metabolism	M00279  PTS system, galactitol-specific II component
K02777	PTS-Glc-EIIA, crr	PTS system, sugar-specific IIA component [EC:2.7.1.-]	ko00010  Glycolysis / Gluconeogenesis	M00265  PTS system, glucose-specific II component
K02778	PTS-Glc-EIIB, ptsG	PTS system, glucose-specific IIB component [EC:2.7.1.199]	ko00010  Glycolysis / Gluconeogenesis	M00265  PTS system, glucose-specific II component
K02779	PTS-Glc-EIIC, ptsG	PTS system, glucose-specific IIC component	ko00010  Glycolysis / Gluconeogenesis	M00265  PTS system, glucose-specific II component
K02781	PTS-Gut-EIIA, srlB	PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]	ko00051  Fructose and mannose metabolism	M00280  PTS system, glucitol/sorbitol-specific II component
K02782	PTS-Gut-EIIB, srlE	PTS system, glucitol/sorbitol-specific IIB component [EC:2.7.1.198]	ko00051  Fructose and mannose metabolism	M00280  PTS system, glucitol/sorbitol-specific II component
K02783	PTS-Gut-EIIC, srlA	PTS system, glucitol/sorbitol-specific IIC component	ko00051  Fructose and mannose metabolism	M00280  PTS system, glucitol/sorbitol-specific II component
K02784	PTS-HPR.PTSH, ptsH	phosphocarrier protein HPr	ko02060  Phosphotransferase system (PTS)	
K02786	PTS-Lac-EIIA, lacF	PTS system, lactose-specific IIA component [EC:2.7.1.207]	ko00052  Galactose metabolism	M00281  PTS system, lactose-specific II component
K02788	PTS-Lac-EIIC, lacE	PTS system, lactose-specific IIC component	ko00052  Galactose metabolism	M00281  PTS system, lactose-specific II component
K02791	PTS-MalGlc-EIIC, malX	PTS system, maltose/glucose-specific IIC component	ko00010  Glycolysis / Gluconeogenesis	M00266  PTS system, maltose/glucose-specific II component
K02793	PTS-Man-EIIA, manX	PTS system, mannose-specific IIA component [EC:2.7.1.191]	ko00051  Fructose and mannose metabolism	M00276  PTS system, mannose-specific II component
K02794	PTS-Man-EIIB, manX	PTS system, mannose-specific IIB component [EC:2.7.1.191]	ko00051  Fructose and mannose metabolism	M00276  PTS system, mannose-specific II component
